Company Name,Company Website,Twitter #1,Twitter #2,Twitter #3,Facebook #1,Facebook #2,Facebook #3,Phone Number,Contact Page
Coca Cola,http://www.coca-cola.com/,cocacola,cocacolaco,coke_archives,http://www.facebook.com/cocacola,N/A,N/A,800-438-2653,http://www.thecoca-colacompany.com/contactus/index.html
IBM,http://www.ibm.com/us/en/,ibmdesign,IBMWatson,ibmevents,http://www.facebook.com/pages/IBM/107572525938726,http://www.facebook.com/ibmwatson,http://www.facebook.com/IBMRedbooks,800-426-4968,http://www.ibm.com/contact/us/en/
Microsoft,http://www.microsoft.com/en-us/default.aspx,Microsoft,Windows,MSFTnews,http://www.facebook.com/Microsoft,https://www.facebook.com/Office?sk=wall,http://www.facebook.com/MicrosoftStore?ref=ts,800-642-7676,http://support.microsoft.com/contactus
Google,http://www.google.com/,google,GoogleMobile,ericschmidt,http://www.facebook.com/Google,http://www.facebook.com/googlechrome,N/A,650-253-0000,http://www.google.com/intl/en/contact/
General Electric (GE),http://www.ge.com/,generalelectric,GECapital,GE_Reports,http://www.facebook.com/pages/GE-Energy-Products/108566879174008,http://www.facebook.com/pages/General-Electric/110781758959665,N/A,203-373- 2211,http://www.ge.com/contact/index.html
Wal-Mart Stores,http://walmartstores.com/,WalmartSpecials ,Walmart ,Walmartgiving,http://www.facebook.com/walmart,http://www.facebook.com/walmartNYC,http://www.facebook.com/pages/Wal-Mart/103134573060865,800-925-6278,http://www.walmart.com/cservice/cu_comments_online.gsp?cu_heading=8
Exxon Mobil,http://www.exxonmobil.com/Corporate/,exxon_mobil ,EINExxonMobil,ExxonMobilCSJP,http://www.facebook.com/pages/Exxon-Mobil/103179436431279,http://www.facebook.com/pages/ExxonMobil-Corporation/106482789388425,,972- 444-1000,http://www.exxonmobil.com/Corporate/contactus_contact_businessheadquarters.aspx
Chevron,http://www.chevron.com/,Chevron,ChangeChevron,ChevronRichmond,http://www.facebook.com/Chevron,http://www.facebook.com/pages/ChevronTexaco/110452018982630,,925-842-1000,http://www.chevron.com/contact/
ConocoPhillips,http://www.conocophillips.com/EN/Pages/index.aspx,conocophillips,HardWorkingCar,N/A,http://www.facebook.com/pages/ConocoPhillips/173793155340,http://www.facebook.com/pages/ConocoPhillips-Company/114589028555666,N/A,281-293-1000 ,http://www.conocophillips.com/EN/utilities/contact/Pages/index.aspx
Fannie Mae,http://www.fanniemae.com/kb/index?page=home,FannieMaeJobs,FannieMaeHelp ,N/A,http://www.facebook.com/homepathbyfanniemae,http://www.facebook.com/FHA203K,N/A,800-732-6643 ,http://www.fanniemae.com/contact/index.jhtml?p=Contact+Us
Berkshire Hathaway,http://www.berkshirehathaway.com/,BRK_B,N/A,N/A,http://www.facebook.com/pages/Berkshire-Hathaway/112244468787782,http://www.facebook.com/pages/Berkshire-Hathaway/197156603629843,N/A,402-346-1400,http://www.berkshirehathaway.com/
General Motors,http://www.gm.com/,GM ,GMBPress,N/A,http://www.facebook.com/generalmotors,N/A,N/A,800-353-3867,http://www.gmfleet.com/helpCenter/contact_us.jsp
Bank of America Corp.,https://www.bankofamerica.com/,BofA_News,BofA_Community ,N/A,http://www.facebook.com/pages/Bank-of-America/108431839181101,N/A,N/A,N/A,https://www.bankofamerica.com/contactus/contactus.go?topicId=about_bofa
Ford Motor,http://www.ford.com/,FordMustang,FordTrucks ,Ford,http://www.facebook.com/ford,http://www.facebook.com/pages/FORD-MOTOR-COMPANY/148114135609,http://www.facebook.com/FordMotorCompanyCareers,800-392-3673,http://corporate.ford.com/owner-services/customer-support/contact-ford/contact-ford-address-phone/
Hewlett-Packard,http://www.hp.com/,hplabs,HPSoftware,ProLiant_News,http://www.facebook.com/pages/Hewlett-Packard/108642545826733,http://www.facebook.com/pages/Hewlett-Packard-HP/131435617998,N/A,650-857-1501,http://www8.hp.com/us/en/hp-information/about-hp/headquarters.html
AT&T,http://www.att.com/,ATTBusiness ,ATT,N/A,http://www.facebook.com/ATT,http://www.facebook.com/pages/ATT/6114253084,,800-225-5288,http://www.att.com/gen/general?wtSlotClick=1-002J78-0-4&pid=13696
J.P. Morgan Chase & Co.,http://www.jpmorganchase.com/corporate/Home/home.htm,JP_MorganChase,N/A,N/A,http://www.facebook.com/pages/JPMorgan-Chase/104043496299122,N/A,N/A,212-270-6000,http://www.jpmorganchase.com/corporate/Home/contact-us.htm
Citigroup,http://www.citigroup.com/citi/homepage/,Citigroup ,C_PR,N/A,http://www.facebook.com/citi,http://www.facebook.com/pages/Citi-Group/114531581896477,N/A,877-528-0990,https://online.citibank.com/US/JRS/portal/contactus.do
McKesson,http://www.mckesson.com/en_us/McKesson.com/,mckessonconnect ,McKesson_MHS,McKesson_HIT,http://www.facebook.com/pages/Mckesson/111494585536168,N/A,N/A,415-983-8300,http://www.mckesson.com/en_us/McKesson.com/Contact%2BUs/Contact%2BInformation.html
Verizon Communications,http://www.verizonwireless.com/b2c/index.html,Verizon ,VerizonWireless,verizonbusiness ,http://www.facebook.com/verizon,http://www.facebook.com/pages/Verizon-Communications/112496888763277,N/A,800-922-0204,http://www.verizonwireless.com/b2c/contact/index.jsp
American International Group,http://www.aigcorporate.com/index.html,N/A,N/A,N/A,http://www.facebook.com/pages/AIG/106038576102094,http://www.facebook.com/pages/NYSE-AIG-American-International-Group/173765719334,N/A,877-244-2210,http://www.aigcorporate.com/corpgovernance/contact_board.html
Cardinal Health,http://www.cardinalhealth.com/,cardinalhealth,RBCBettingOnYOU,N/A,http://www.facebook.com/CardinalHealthFoundation,http://www.facebook.com/pages/Cardinal-Health/109556449069756,N/A,614-757-5000,http://www.cardinalhealth.com/mps/public/!ut/p/c1/04_SB8K8xLLM9MSSzPy8xBz9CP0os3gjA3cDAwtfZ18fkzBLA09PC0PzgLAgA_dgM_3g1Dz9cJAus3gDHMDRQN_PIz83Vb8g28sCAHQWbBk!/dl2/d1/L2dJQSEvUUt3QS9ZQnB3LzZfMjBHMDA4TUNNTEUzNTBJQUpHUTNONDEwVTY!/?WCM_GLOBAL_CONTEXT=/mps/wcm/connect/us/en/contactus
Freddie Mac,http://www.freddiemac.com/,FreddieMac,N/A,N/A,http://www.facebook.com/pages/Freddie-Mac/103118489729051,http://www.facebook.com/FreddieMacCareers,N/A,703-903-2000,http://www.freddiemac.com/corporate/about/contactus.htm
CVS Caremark,http://info.cvscaremark.com/,CVSCaremarkFYI ,CVSClassicGolf,N/A,http://www.facebook.com/pages/CVS-Caremark/103791766325945,http://www.facebook.com/CVSCaremark,N/A,401-765-1500,http://info.cvscaremark.com/our-company/contact-us
UnitedHealth Group,http://www.unitedhealthgroup.com/main/default.aspx,UnitedHealthGrp,http://twitter.com/#!/UHGHRJobs,N/A,http://www.facebook.com/pages/UnitedHealth-Group/112600232084460,N/A,N/A,800-328-5979,http://www.unitedhealthgroup.com/main/ContactUs.aspx
Wells Fargo,https://www.wellsfargo.com/,WellsFargo,WellsFargoCtr,Ask_WellsFargo,http://www.facebook.com/wellsfargo,N/A,N/A,800-869-3557,https://www.wellsfargo.com/help/
Valero Energy,http://www.valero.com/default.aspx,N/A,N/A,N/A,http://www.facebook.com/pages/Valero-Energy-Corporation/112619472084145,http://www.facebook.com/pages/Valero-Energy/139413942810476,N/A,800-324-846,http://www.valero.com/contactus/Pages/ConsumerContacts.aspx
Kroger,http://www.kroger.com/Pages/default.aspx,KrogerCo,thekrogerco,N/A,http://www.facebook.com/Kroger?sk=wall,http://www.facebook.com/pages/Kroger/107815649239489,N/A,800-576-4377,http://www.kroger.com/help/Pages/contact_us.aspx
Procter & Gamble,http://www.pg.com/en_US/index.shtml,ProcterGamble,ProcterGambles ,pgthankyoumom,http://www.facebook.com/pages/Procter-Gamble/112411102108064,http://www.facebook.com/proctergamble,N/A,513-983-1100,http://www.pg.com/en_US/contact_us/index.shtml
AmerisourceBergen,http://www.amerisourcebergen.com/abc/,AmerisourceBerg,ABSpecialtyGrp ,N/A,http://www.facebook.com/pages/AmerisourceBergen-Corporation/110788668949663,http://www.facebook.com/profile.php?id=100001655923230&sk=wall,N/A,610-727-7000,http://www.amerisourcebergen.com/abc/contact_us/contact_us.jsp
Costco Wholesale,http://www.costco.com/,CostcoTweets,Costco_Boise,CostcoInsider,http://www.facebook.com/Costco,http://www.facebook.com/pages/Costco/108020972551311?ref=ts,N/A,800-774-2678,http://shop.costco.com/customer-service/contact-us
Marathon Oil,http://www.marathonoil.com/,MarathonOil,Marathon_Oil,N/A,http://www.facebook.com/pages/Marathon-Oil/113035895376584,http://www.facebook.com/profile.php?id=100000753922108&sk=wall,N/A,713-629-6600,http://www.marathonoil.com/About_Us/Contacts/
Home Depot,http://www.homedepot.com/,HomeDepot ,HomeDepotDeals ,HomeDepotRacing ,http://www.facebook.com/homedepot,http://www.facebook.com/pages/Home-Depot/109933805694854,N/A,800-466-3337,http://www.homedepot.com/webapp/wcs/stores/servlet/ContentView?pn=Contact_Us&langId=-1&storeId=10051&catalogId=10053
Pfizer,http://www.pfizer.com/home/,pfizer_news ,PfizerTurkiye,PfizerMexico,http://www.facebook.com/Pfizer?sk=wall,http://www.facebook.com/PfizerTurkiye,http://www.facebook.com/PfizerKariyer,212-733-2323,http://www.pfizer.com/contact/
Walgreen,http://www.walgreens.com/,Walgreens,walgreens__ ,WalgreensNews ,http://www.facebook.com/pages/Walgreen/172329426530,http://www.facebook.com/pages/Walgreen/106104629427621,N/A,877-250-5823,http://www.walgreens.com/topic/marketing/contactus/default1.jsp?foot=contact_us
Target,http://www.target.com/,Target,TargetDailyDeal,TargetStyle T,http://www.facebook.com/target?sk=wall,http://www.facebook.com/TargetStyle,http://www.facebook.com/TargetBaby,800-591-3869,http://www.target.com/HelpContent?help=/sites/html/TargetOnline/help/contact_us/contact_us.html
Medco Health Solutions,http://www.medcohealth.com/medco/corporate/home.jsp,Medco,N/A,N/A,http://www.facebook.com/pages/Medco-Health-Solutions/104064529628937,N/A,N/A,800-251-7690,http://www.medcohealth.com/medco/corporate/home.jsp?BV_SessionID=@@@@0797200574.1314729986-mm69647340295@@@@&BV_EngineID=ccckadfehkfjgikcfklcgffdghfdffm.0&articleID=CorpContactUs
Apple,http://www.apple.com/,iTunesTrailers,iTunesMusic,AppStore,http://www.facebook.com/pages/Apple/130542590318034,http://www.facebook.com/pages/apple-/109531568816,http://www.facebook.com/pages/Apple-Products/25782233217,408-996-1010,http://www.apple.com/contact/
Boeing,http://www.boeing.com/,BoeingDefense ,Boeing ,BoeingAirplanes ,http://www.facebook.com/pages/Boeing/25362251550,http://www.facebook.com/boeingstore?sk=wall,http://www.facebook.com/pages/Boeing-777/13915109221,312-544-2000,http://www.boeing.com/contactus.html
State Farm Insurance Cos.,http://www.statefarm.com/,StateFarm,StateFarmNation ,N/A,http://www.facebook.com/pages/State-Farm-Insurance/103986852970522,http://www.facebook.com/statefarm?sk=wall,http://www.facebook.com/StateFarmNation,309-766-2311,http://www.statefarm.com/aboutus/newsroom/contacts/contacts.asp
Archer Daniels Midland,http://www.adm.com/en-US/Pages/default.aspx,TradeADMIS,jayscheidt1981,N/A,http://www.facebook.com/pages/Archer-Daniels-Midland-Company/114820858534346,N/A,N/A,800-637-5843,http://www.adm.com/en-us/_layouts/ContactUs.aspx
Johnson & Johnson,http://www.jnj.com/connect/,JNJComm,JNJStories J,N/A,http://www.facebook.com/jnj,http://www.facebook.com/pages/Johnson-Johnson/103766552995866,N/A,732-524-0400,https://secure-www.jnj.com/wps/wcm/jsp/contactUs.jsp
Dell,http://www.dell.com/,DellCares,DellEnterprise ,DellOutlet,http://www.facebook.com/dell?sk=wall,http://www.facebook.com/DellUniversity,http://www.facebook.com/DellAustralia?sk=wall,N/A,http://support.dell.com/support/topics/global.aspx/support/dellcare/contact_us?c=us&l=en&s=gen
WellPoint,http://www.wellpoint.com/,N/A,wellpointsystem,PRIDEWELLPOINT,http://www.facebook.com/pages/WellPoint/112966088717730,http://www.facebook.com/WellPointCareers,N/A,317-532-6000,http://www.wellpoint.com/ContactUs/index.htm
PepsiCo,http://www.pepsico.com/,pepsico ,PepsiCoJOBS ,N/A,http://www.facebook.com/pages/Pepsi-Co/148696438522018,http://www.facebook.com/pepsi?sk=wall,N/A,914-253-2000,http://www.pepsico.com/Contacts.html
United Technologies,http://www.utc.com/Home,UTC,TheEIU_Tech ,N/A,http://www.facebook.com/pages/United-Technologies/114800361868880,http://www.facebook.com/pages/United-Technologies-Corporation/131330023590769,N/A,860-728-7000,http://www.utc.com/Common/Footer/Contact
Dow Chemical,http://www.dow.com/,DowChemical ,DCECU ,DowPlastics ,http://www.facebook.com/TheDowChemicalCompany,http://www.facebook.com/pages/Dow-Chemical-Company/108281379192914,N/A,800-258-2436 ,http://www.dow.com/financial/contact.htm
MetLife,http://www.metlife.com/,MetLifeBlimp,UK_MetLife,MetLifeCentral ,http://www.facebook.com/metlife,http://www.facebook.com/pages/MetLife/108004729222294,http://www.facebook.com/metlifeblimp,800-638-5433,http://www.metlife.com/about/corporate-profile/contact/metlife/index.html
Best Buy,http://www.bestbuy.com/,BestBuy ,twelpforce ,BestBuyCMO ,http://www.facebook.com/bestbuy,http://www.facebook.com/pages/I-Love-Best-Buy/371760564417,http://www.facebook.com/BestBuyCanada,888-237-8289,http://www.bestbuy.com/site/null/Customer-Service/pcmcat87800050001.c?id=pcmcat87800050001
United Parcel Service,http://www.ups.com/,RoyalMail ,UPS ,postandparcelUS ,http://www.facebook.com/pages/United-Parcel-Service/108114832542418,http://www.facebook.com/pages/United-Parcel-Service/167730386587766,N/A,800-PICK-UPS,http://www.ups.com/content/us/en/contact/corporate.html
Kraft Foods,http://www.kraftfoodscompany.com/welcome.aspx,N/A,N/A,N/A,http://www.facebook.com/KraftFoods?sk=wall,http://www.facebook.com/kraftfoodscorporate,N/A,847-646-2000,http://www.kraftfoodscompany.com/contacts/other-contacts.aspx
Lowe's,http://www.lowes.com/,N/A,N/A,N/A,http://www.facebook.com/lowes?sk=wall,http://www.facebook.com/TeamLowesRacing,N/A,800 445-6937,http://www.lowes.com/webapp/wcs/stores/servlet/ContactUsCategoryFAQPageView?storeId=10151&catalogId=10051&faqId=51
